"","nome_discursante","sigla_partido.x","sigla_uf_partido","genero_discursante","idade_df","raca_df","Neutro","Contra","A favor"
"1","ALESSANDRO VIEIRA","CIDADANIA","SE","Masculino",NA,NA,995,96,21
"2","ANGELO CORONEL","PSD","BA","Masculino",60,"branca",35,5,1
"3","CARLOS PORTINHO","PL","RJ","Masculino",NA,NA,4,3,1
"4","CIRO NOGUEIRA","PP","PI","Masculino",50,"branca",325,22,7
"5","DANIELLA RIBEIRO","PP","PB","Feminino",47,"branca",1,0,0
"6","EDUARDO BRAGA","MDB","AM","Masculino",58,"branca",617,75,15
"7","EDUARDO GIRAO","PODEMOS","CE","Masculino",NA,NA,1064,128,100
"8","ELIZIANE GAMA","CIDADANIA","MA","Feminino",42,"parda",1736,97,15
"9","FABIANO CONTARATO","REDE","ES","Masculino",52,"branca",478,92,13
"10","FERNANDO BEZERRA COELHO","MDB","PE","Masculino",57,"branca",982,90,37
"11","FLAVIO BOLSONARO","PATRIOTA","RJ","Masculino",NA,NA,230,22,4
"12","FLAVIO BOLSONARO","REPUBLICANOS","RJ","Masculino",NA,NA,112,5,2
"13","GIORDANO","PSL","SP","Masculino",NA,NA,8,0,3
"14","HUMBERTO COSTA","PT","PE","Masculino",61,"parda",888,151,30
"15","IZALCI LUCAS","PSDB","DF","Masculino",NA,NA,584,60,12
"16","JEAN PAUL PRATES","PT","RN","Masculino",NA,NA,162,27,4
"17","JORGE KAJURU","PODEMOS","GO","Masculino",58,"branca",64,6,1
"18","JORGINHO MELLO","PL","SC","Masculino",62,"parda",422,41,22
"19","KATIA ABREU","PP","TO","Feminino",53,"branca",13,3,4
"20","LEILA BARROS","PSB","DF","Feminino",NA,NA,242,31,7
"21","LUIS CARLOS HEINZE","PP","RS","Masculino",68,"branca",613,117,32
"22","MARA GABRILLI","PSDB","SP","Feminino",51,"branca",14,7,0
"23","MARCOS DO VAL","PODEMOS","ES","Masculino",47,"branca",209,31,10
"24","MARCOS ROGERIO","DEM","RO","Masculino",NA,NA,3085,132,56
"25","MECIAS DE JESUS","REPUBLICANOS","RR","Masculino",57,"preta",12,1,0
"26","NELSINHO TRAD","PSD","MS","Masculino",57,"branca",5,3,2
"27","OMAR AZIZ","PSD","AM","Masculino",56,"branca",6252,222,54
"28","OTTO ALENCAR","PSD","BA","Masculino",67,"branca",1065,102,24
"29","PAULO ROCHA","PT","PA","Masculino",64,"branca",4,1,0
"30","RANDOLFE RODRIGUES","REDE","AP","Masculino",NA,NA,4316,162,35
"31","REGUFFE","PODEMOS","DF","Masculino",42,"branca",44,13,2
"32","RENAN CALHEIROS","MDB","AL","Masculino",NA,NA,5949,484,31
"33","ROBERTO ROCHA","PSDB","MA","Masculino",49,"branca",24,9,2
"34","RODRIGO CUNHA","PSDB","AL","Masculino",37,"parda",0,1,1
"35","ROGERIO CARVALHO","PT","SE","Masculino",NA,NA,585,142,20
"36","ROSE DE FREITAS","MDB","ES","Feminino",66,"branca",2,1,1
"37","SIMONE TEBET","MDB","MS","Feminino",45,"branca",557,94,8
"38","SORAYA THRONICKE","PSL","MS","Feminino",45,"branca",637,52,12
"39","STYVENSON VALENTIM","PODEMOS","RN","Masculino",NA,NA,41,4,0
"40","TASSO JEREISSATI","PSDB","CE","Masculino",66,"branca",166,39,3
"41","TELMARIO MOTA","PROS","RR","Masculino",NA,NA,8,10,2
"42","VANDERLAN CARDOSO","PSD","GO","Masculino",NA,NA,3,4,1
"43","WEVERTON","PDT","MA","Masculino",39,"preta",0,1,0
"44","ZENAIDE MAIA","PROS","RN","Feminino",NA,NA,40,53,6
